"#","Event code","Title","ELIXIR Node","Start date","End date","Duration","Event type","Funding","Organising Institution/s","Location (city, country)","EXCELERATE subtask","Target audience","Additional ELIXIR Platforms involved","ELIXIR Communities involved","Number of participants","Number of trainers/ facilitators","Url to event page/ agenda","Main organiser"
"35","7332","Statistics and Machine Learning for Life Sciences","ELIXIR-CH","09.12.2021","10.12.2021","2.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","19","3","https://www.sib.swiss/training/course/20211209_STAML","ELIXIR-CH"
"36","7369","Deep learning in biology - online","ELIXIR-BE","08.12.2021","09.12.2021","2.00 Days","Training - elearning","Non-ELIXIR/ Non-EXCELERATE funds","VIB","Belgium","","Academia/ Research Institution","NA","NA","21","1","https://training.vib.be/all-trainings/deep-learning-biology-online","ELIXIR-BE"
"37","7331","Metagenome-atlas: Three commands to start analysing your metagenome data","ELIXIR-CH","08.12.2021","08.12.2021","1.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","20","2","https://www.sib.swiss/training/course/20211208_METAG","ELIXIR-CH"
"38","7343","Data Management Planning workshop for Life Science Projects (6.-7. December 2021)","ELIXIR-NO","06.12.2021","07.12.2021","2.00 Days","Training - elearning","ELIXIR Converge, ELIXIR Platform","UiB, UiT, NMBU, NTNU, UiO","Online","","Academia/ Research Institution, Healthcare","Interoperability","NA","30","6","https://tess.elixir-europe.org/events/data-management-planning-workshop-for-life-science-projects-6-7-december-2021","ELIXIR-NO"
"39","7330","Enrichment Analysis","ELIXIR-CH","03.12.2021","03.12.2021","1.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","23","3","https://www.sib.swiss/training/course/20211203_ENRIC","ELIXIR-CH"
"40","7381","Migrating tools to the cloud - online","ELIXIR-BE","02.12.2021","02.12.2021","1.00 Days","Training - elearning","Non-ELIXIR/ Non-EXCELERATE funds","VIB","Belgium","","Academia/ Research Institution","Tools","Galaxy","16","2","https://training.vib.be/all-trainings/migrating-tools-cloud-online","ELIXIR-BE"
"41","7073","RNA-seq data analysis","ELIXIR-SE","30.11.2021","04.12.2021","5.00 Days","Training - elearning","ELIXIR Hub","NBIS","Sweden","","Academia/ Research Institution","NA","NA","24","3","https://www.scilifelab.se/event/rna-seq-data-analysis-online/","ELIXIR-SE"
"42","7329","First Steps in Parallelization with OpenMP","ELIXIR-CH","24.11.2021","24.11.2021","1.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Industry, Non-Profit Organisation, Healthcare","NA","NA","13","3","https://www.sib.swiss/training/course/20211124_OPEMP","ELIXIR-CH"
"43","7328","Data Visualization with R","ELIXIR-CH","22.11.2021","23.11.2021","2.00 Days","Training - face to face","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","25","2","https://www.sib.swiss/training/course/20211122_DATVIS","ELIXIR-CH"
"44","7380","Introduction to the NGS data analysis, online","ELIXIR-BE","18.11.2021","25.11.2021","8.00 Days","Training - elearning","Non-ELIXIR/ Non-EXCELERATE funds","VIB","Belgium","","Academia/ Research Institution","Tools","Galaxy","16","1","https://training.vib.be/all-trainings/introduction-analysis-ngs-data-online-4","ELIXIR-BE"
"45","7327","Reproducible research and data analysis using Nextflow pipelines","ELIXIR-CH","15.11.2021","18.11.2021","4.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","30","11","https://www.sib.swiss/training/course/20211115_NEXTF","ELIXIR-CH"
"46","7378","Factorial design and analysis","ELIXIR-BE","12.11.2021","19.11.2021","8.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","VIB","Belgium","","Academia/ Research Institution","NA","NA","18","1","https://training.vib.be/all-trainings/factorial-design-and-analysis","ELIXIR-BE"
"47","7311","Data processing with R tidyverse","ELIXIR-LU","11.11.2021","16.11.2021","6.00 Days","Training - elearning","ELIXIR Node","LCSB","Luxembourg","","Academia/ Research Institution","NA","NA","45","4","https://elixir-luxembourg.org/events/2021_11_11_rtidyverse","ELIXIR-LU"
"48","7325","Single-cell Transcriptomics","ELIXIR-CH","08.11.2021","10.11.2021","3.00 Days","Training - face to face","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","22","4","https://www.sib.swiss/training/course/20211108_ISCTR","ELIXIR-CH"
"49","7326","UNIX scripting for Life Scientists","ELIXIR-CH","08.11.2021","09.11.2021","2.00 Days","Training - face to face","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","16","3","https://www.sib.swiss/training/course/20211108_UNIXAD","ELIXIR-CH"
"50","7324","NGS - Quality control, Alignment, Visualisation","ELIXIR-CH","03.11.2021","05.11.2021","3.00 Days","Training - face to face","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","17","2","https://www.sib.swiss/training/course/20211103_NGS6","ELIXIR-CH"
"51","7323","Research Data Management and Data Management Plan","ELIXIR-CH","28.10.2021","29.10.2021","2.00 Days","Training - face to face","CONVERGE, ELIXIR Converge, ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","17","4","https://www.sib.swiss/training/course/20211028_RDMP","ELIXIR-CH"
"52","7371","Functional Plant Bioinformatics (PLAZA)","ELIXIR-BE","25.10.2021","26.10.2021","2.00 Days","Training - elearning","Non-ELIXIR/ Non-EXCELERATE funds","VIB","Belgium","","Academia/ Research Institution","Tools","NA","11","2","https://training.vib.be/all-trainings/functional-plant-bioinformatics-plaza-0","ELIXIR-BE"
"53","7301","Introduction to CWL and Docker","ELIXIR-DE, ELIXIR-GR, ELIXIR-NL","25.10.2021","25.10.2021","1.00 Days","Training - blended","ELIXIR Node, ELIXIR Platform","ATHENA RC, INAB|CERTH","Greece","","Academia/ Research Institution, Industry, Non-Profit Organisation","Interoperability","NA","22","4","https://biodataanalysisgroup.github.io/intro-to-cwl-docker/","ELIXIR-GR"
"54","7310","Basic git training","ELIXIR-LU","20.10.2021","20.10.2021","1.00 Days","Training - elearning","ELIXIR Node","LCSB","Luxembourg","","Academia/ Research Institution","NA","NA","23","1","https://elixir-luxembourg.org/events/2021_10_20_basic_git_training","ELIXIR-LU"
"55","7321","Docker and Singularity for reproducible research: getting started with containers","ELIXIR-CH","14.10.2021","14.10.2021","1.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","27","3","https://www.sib.swiss/training/course/20211014_DOCK","ELIXIR-CH"
"56","7320","Version Control with Git","ELIXIR-CH","06.10.2021","08.10.2021","3.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","21","3","https://www.sib.swiss/training/course/20211006_GIT","ELIXIR-CH"
"57","7300","1st ELIXIR FluxomicsTraining School","ELIXIR-ES, ELIXIR-GR, ELIXIR-NL","04.10.2021","08.10.2021","5.00 Days","Training - blended","ELIXIR Implementation Study","FORTH/ICE-HT, UB","Greece","","Academia/ Research Institution, Industry, Non-Profit Organisation","NA","Metabolomics","30","35","https://www.eventora.com/en/Events/fluxomics-2021/WebApp/live/","ELIXIR-GR"
"58","7309","Best practices in research data management and stewardship","ELIXIR-LU","04.10.2021","07.10.2021","4.00 Days","Training - elearning","ELIXIR Node","LCSB","Luxembourg","","Academia/ Research Institution","NA","NA","22","5","https://elixir-luxembourg.org/events/2021_10_04_research_data_management","ELIXIR-LU"
"59","7162","EMBO Practical Course ""Research to service: Planning and running a bioinformatics core facility""","ELIXIR-ES","04.10.2021","08.10.2021","5.00 Days","Training - elearning","Non-ELIXIR/ Non-EXCELERATE funds","Barcelona Supercomputing Center - BSC, EMBL-EBI, Izmir Biomedicine and Genome Center - IBG, INCLIVA Health Research Institute","Online","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","20","18","https://meetings.embo.org/event/20-bioinformatics-core","ELIXIR-ES"
"60","7319","Introduction to Machine Learning with Python","ELIXIR-CH","04.10.2021","05.10.2021","2.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","24","3","https://www.sib.swiss/training/course/20211004_INMLP","ELIXIR-CH"
"61","7318","First Steps with Python in Life Sciences","ELIXIR-CH","29.09.2021","01.10.2021","3.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","26","3","https://www.sib.swiss/training/course/20210929_PYTFS","ELIXIR-CH"
"62","7316","First Steps with UNIX in Life Sciences","ELIXIR-CH","27.09.2021","27.09.2021","1.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","23","1","https://www.sib.swiss/training/course/20210927_FSWU","ELIXIR-CH"
"63","7315","NGS - Genome variant analysis","ELIXIR-CH","16.09.2021","17.09.2021","2.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","27","2","https://www.sib.swiss/training/course/20210916_NGSGV","ELIXIR-CH"
"64","7308","Statistical tests and statistical learning for omics data","ELIXIR-LU","14.09.2021","15.09.2021","2.00 Days","Training - elearning","ELIXIR Node","LCSB","Luxembourg","","Academia/ Research Institution","NA","NA","23","3","https://elixir-luxembourg.org/events/2021_09_14_Statisticalearning_omics","ELIXIR-LU"
"65","7342"," Data Management Planning workshop for Life Science Projects (7-8 September 2021) ","ELIXIR-NO","07.09.2021","08.09.2021","2.00 Days","Training - elearning","ELIXIR Converge, ELIXIR Platform","UiB, UiT, NTNU, NMBU, UiO","Online","","Academia/ Research Institution, Healthcare","Interoperability","NA","35","6","https://tess.elixir-europe.org/events/data-management-planning-workshop-for-life-science-projects-bc617aae-e700-46c3-b683-2001432aaa86","ELIXIR-NO"
"66","7314","First steps with R in Life Sciences","ELIXIR-CH","06.09.2021","07.09.2021","2.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","24","3","https://www.sib.swiss/training/course/20210906_FSWIR","ELIXIR-CH"
"67","7313","Introduction to RNA-Seq","ELIXIR-CH","02.09.2021","03.09.2021","2.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","25","2","https://www.sib.swiss/training/course/20210902_IRNAS","ELIXIR-CH"
"68","7372","Gentle hands-on introduction to Python programming","ELIXIR-BE","27.08.2021","10.09.2021","15.00 Days","Training - elearning","Non-ELIXIR/ Non-EXCELERATE funds","VIB","Belgium","","Academia/ Research Institution","NA","NA","25","2","https://training.vib.be/all-trainings/gentle-hands-introduction-python-programming-6","ELIXIR-BE"
"69","7291","Advanced Statistics: Statistical Modelling","ELIXIR-CH","16.08.2021","19.08.2021","4.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","24","3","https://www.sib.swiss/training/course/20210816_ASSM","ELIXIR-CH"
"70","7290","Introduction to R for Biologists ","ELIXIR-UK","28.07.2021","29.07.2021","2.00 Days","Training - elearning","ELIXIR Platform","University of Cambridge","Online","","Academia/ Research Institution","NA","NA","56","4","https://training.cam.ac.uk/bioinformatics/event/3894044","ELIXIR-UK"
"71","7307","First steps with R","ELIXIR-LU","27.07.2021","29.07.2021","3.00 Days","Training - elearning","ELIXIR Node","LCSB","Luxembourg","","Academia/ Research Institution","NA","NA","18","2","https://elixir-luxembourg.org/events/2021_07_27_rbasics","ELIXIR-LU"
"72","7289","An Introduction to Machine Learning ","ELIXIR-UK","14.07.2021","16.07.2021","3.00 Days","Training - elearning","ELIXIR Platform","University of Cambridge","Online","","Academia/ Research Institution","NA","NA","53","6","https://training.cam.ac.uk/bioinformatics/event/3916414","ELIXIR-UK"
"73","7306","Reproducible analysis workflows with Snakemake and Conda","ELIXIR-LU","14.07.2021","16.07.2021","3.00 Days","Training - elearning","ELIXIR Node","LCSB","Luxembourg","","Academia/ Research Institution","NA","NA","40","2","https://elixir-luxembourg.org/events/2021_07_14_snakemake_anaconda","ELIXIR-LU"
"74","7288","An Introduction to MATLAB for biologists ","ELIXIR-UK","12.07.2021","13.07.2021","2.00 Days","Training - elearning","ELIXIR Platform","University of Cambridge","Online","","Academia/ Research Institution","NA","NA","12","3","https://training.cam.ac.uk/bioinformatics/event/3924477","ELIXIR-UK"
"75","7160","Best Practices in Programming","ELIXIR-CH","07.07.2021","08.07.2021","2.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatic","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","26","8","https://www.sib.swiss/training/course/20210707_BPP","ELIXIR-CH"
"76","7287","High Performance Computing: An Introduction ","ELIXIR-UK","06.07.2021","06.07.2021","1.00 Days","Training - elearning","ELIXIR Platform","University of Cambridge","Online","","Academia/ Research Institution","NA","NA","50","4","https://training.cam.ac.uk/bioinformatics/event/3919342","ELIXIR-UK"
"77","7286","Introduction to working with UNIX and bash ","ELIXIR-UK","05.07.2021","05.07.2021","1.00 Days","Training - elearning","ELIXIR Platform","University of Cambridge","Online","","Academia/ Research Institution","NA","NA","40","4","https://training.cam.ac.uk/bioinformatics/event/3917128","ELIXIR-UK"
"78","7285","Analysis of bulk RNA-seq data ","ELIXIR-UK","30.06.2021","02.07.2021","3.00 Days","Training - elearning","ELIXIR Platform","University of Cambridge","Online","","Academia/ Research Institution","NA","NA","49","7","https://training.cam.ac.uk/bioinformatics/event/3925931","ELIXIR-UK"
"79","7159","Enrichment Analysis","ELIXIR-CH","25.06.2021","25.06.2021","18.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","23","3","https://www.sib.swiss/training/course/2021-06-enrichment-analysis","ELIXIR-CH"
"80","7158","Introduction to statistics with Python","ELIXIR-CH","21.06.2021","22.06.2021","2.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","21","3","https://www.sib.swiss/training/course/20210621_STATP","ELIXIR-CH"
"81","7157","Gene expression made useful easily: tools and database of Bgee (lectures and practicals)","ELIXIR-CH","18.06.2021","18.06.2021","25.00 Days","Training - elearning","ELIXIR Node","SIB - Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","17","5","https://www.sib.swiss/training/course/2021-06-genex-bgee","ELIXIR-CH"
